Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2010-01-04 00:00:00-05:00,6.4370117926365795,6.469282740618489,6.405344054997402,6.454504489898682,493729600,0.0,0.0
2010-01-05 00:00:00-05:00,6.472298746385082,6.502156850926463,6.4315824537500195,6.465663433074951,601904800,0.0,0.0
2010-01-06 00:00:00-05:00,6.4656631772952755,6.49129921139316,6.356182928071745,6.362818241119385,552160000,0.0,0.0
2010-01-07 00:00:00-05:00,6.386343981738617,6.393884111790036,6.304912187891977,6.3510565757751465,477131200,0.0,0.0
2010-01-08 00:00:00-05:00,6.3426134593354515,6.393885549862555,6.305216016577903,6.393281936645508,447610800,0.0,0.0
2010-01-11 00:00:00-05:00,6.41801052893736,6.424042631856606,6.286815511860535,6.336881160736084,462229600,0.0,0.0
2010-01-12 00:00:00-05:00,6.3091348324233465,6.32662833841241,6.225592599911021,6.264800071716309,594459600,0.0,0.0
2010-01-13 00:00:00-05:00,6.269324110115888,6.361612479162151,6.155621369984527,6.353167533874512,605892000,0.0,0.0
2010-01-14 00:00:00-05:00,6.336882980889558,6.347438761353096,6.304008413214147,6.316373825073242,432894000,0.0,0.0
2010-01-15 00:00:00-05:00,6.361612492994498,6.381820040691002,6.209003891201867,6.210813522338867,594067600,0.0,0.0
2010-01-19 00:00:00-05:00,6.283198610744736,6.490094986481932,6.250324845515265,6.485570907592773,730007600,0.0,0.0
2010-01-20 00:00:00-05:00,6.4816464502439315,6.50094877347246,6.3184821220938066,6.385738849639893,612152800,0.0,0.0
2010-01-21 00:00:00-05:00,6.3962970128124494,6.433393244978449,6.2494180967868616,6.275355339050293,608154400,0.0,0.0
2010-01-22 00:00:00-05:00,6.236448530198525,6.258163294899862,5.9463112313561854,5.964105129241943,881767600,0.0,0.0
2010-01-25 00:00:00-05:00,6.107668479826667,6.173718019338256,6.037697669200961,6.124557971954346,1065699600,0.0,0.0
2010-01-26 00:00:00-05:00,6.211416965460812,6.445457366479374,6.109778428853809,6.21111536026001,1867110000,0.0,0.0
2010-01-27 00:00:00-05:00,6.238560730243731,6.351056653242883,6.0177905517713715,6.269625663757324,1722568400,0.0,0.0
2010-01-28 00:00:00-05:00,6.180655500935798,6.197846194969612,5.992759455446686,6.010553359985352,1173502400,0.0,0.0
2010-01-29 00:00:00-05:00,6.064539016166094,6.098317994189345,5.737907823302188,5.792497158050537,1245952400,0.0,0.0
2010-02-01 00:00:00-05:00,5.801846294159898,5.911326564663297,5.7695753434189,5.873023509979248,749876400,0.0,0.0
2010-02-02 00:00:00-05:00,5.90861387487049,5.920979288110838,5.832309353209901,5.907105445861816,698342400,0.0,0.0
2010-02-03 00:00:00-05:00,5.886296249882441,6.038000507422373,5.863676253112666,6.008745193481445,615328000,0.0,0.0
2010-02-04 00:00:00-05:00,5.933343004016079,5.982805451539263,5.777718747343863,5.792195796966553,757652000,0.0,0.0
2010-02-05 00:00:00-05:00,5.809689118193462,5.911327672620965,5.756004188392486,5.895040988922119,850306800,0.0,0.0
2010-02-08 00:00:00-05:00,5.901977871514791,5.968027806427865,5.851007392804809,5.854626655578613,478270800,0.0,0.0
2010-02-09 00:00:00-05:00,5.923994031576465,5.956566589996102,5.87362716784636,5.917057514190674,632886800,0.0,0.0
2010-02-10 00:00:00-05:00,5.908010361634345,5.929424740039628,5.858850309756718,5.884787559509277,370361600,0.0,0.0
2010-02-11 00:00:00-05:00,5.877547216556796,6.024425716872097,5.85281599463012,5.991852760314941,550345600,0.0,0.0
2010-02-12 00:00:00-05:00,5.974964288316348,6.08142892088933,5.896247336843168,6.043427467346191,655468800,0.0,0.0
2010-02-16 00:00:00-05:00,6.090476483538071,6.14325618898194,6.077809466981157,6.134510040283203,543737600,0.0,0.0
2010-02-17 00:00:00-05:00,6.158337888468387,6.161957152188763,6.057905333614546,6.1088762283325195,436396800,0.0,0.0
2010-02-18 00:00:00-05:00,6.081125875363067,6.149287844723846,6.059712711669731,6.120334148406982,422825200,0.0,0.0
2010-02-19 00:00:00-05:00,6.088064467010597,6.1284783612452225,6.0654440739511015,6.082333564758301,415469600,0.0,0.0
2010-02-22 00:00:00-05:00,6.102539342053611,6.107364621826505,6.00753573220475,6.0446319580078125,390563600,0.0,0.0
2010-02-23 00:00:00-05:00,6.031966838815576,6.072079531425868,5.902581408903505,5.943296909332275,575094800,0.0,0.0
2010-02-24 00:00:00-05:00,5.978582921597844,6.075396176638528,5.966820318891818,6.0518717765808105,460566400,0.0,0.0
2010-02-25 00:00:00-05:00,5.952946788016937,6.118222395722381,5.938168537246329,6.09228515625,665126000,0.0,0.0
2010-02-26 00:00:00-05:00,6.103746743850243,6.18789258726442,6.0922861481102135,6.171304702758789,507460800,0.0,0.0
2010-03-01 00:00:00-05:00,6.20538544033075,6.318484985118994,6.196337686139839,6.303103923797607,550093600,0.0,0.0
